Speed(mph);Time;Throttle;Voltage;U Inductor;BackEMF;TotalR;Amperage;Flow;New Force(lbf);Legacy Force(lbf);Power/Motor;AvailPower/Motor;OverLoad
0;0,01667673;0,208604;0,0834416;0,0834416;0;0,022;0;0;0;0;0;75;False
0,5037079;15,05009;95,94829;49,10544;36,83573;12,25112;0,022;923,6722;25,34547;107,6902;209,5875;45,35733;720;False
1,503041;17,31925;98,86759;72,52711;36,85406;35,51332;0,022;1085,001;29,77231;148,5938;210,0065;78,69199;720;False
2,505553;18,85433;100;95,6071;35,50889;60,10187;0,022;1176,42;32,28085;174,6888;213,4534;112,4741;720;False
3,513632;20,12236;100;117,98;33,02158;84,83291;0,022;1224,9;33,61112;189,3832;210,6939;144,5136;720;False
4,504705;21,24026;100;139,9754;30,66515;109,4104;0,022;1251,303;34,33562;197,6355;209,8277;175,1516;720;False
5,516034;22,30808;100;162,4203;29,23004;133,2337;0,022;1263,088;34,65899;201,3758;209,1578;205,1511;720;False
6,509013;23,30919;100;184,4581;28,68608;155,872;0,022;1269,283;34,829;203,3562;208,4981;234,1296;720;False
7,50005;24,27699;100;206,4527;28,16376;178,2873;0,022;1270,455;34,86116;203,7319;207,8411;262,2889;720;False
8,517204;25,24471;100;229,027;28,29137;200,5144;0,022;1271,254;34,88309;203,9883;207,1628;291,1516;720;False
9,50323;26,1792;100;250,9104;27,5007;223,2674;0,022;1271,592;34,89236;204,0968;206,5044;319,0558;720;False
10,50687;27,13015;100;273,1847;28,37794;244,6531;0,022;1270,915;34,87378;203,8794;205,8315;347,1945;720;False
11,51027;28,08117;100;295,4538;28,48795;266,887;0,022;1272,343;34,91297;204,3379;205,1637;375,9186;720;False
12,51198;29,03224;100;317,6853;27,97379;289,5644;0,022;1270,925;34,87406;203,8827;204,4914;403,7543;720;False
13,51261;29,98323;100;339,8927;28,00836;311,7551;0,022;1270,889;34,87306;203,871;203,8249;431,9658;720;False
14,51106;30,93432;100;362,0518;27,4614;334,5208;0,022;1270,262;34,85585;203,6698;203,1542;459,9006;720;False
15,51051;31,88535;100;384,2332;27,67068;356,7985;0,022;1270,923;34,87399;203,8819;202,488;488,3307;720;False
16,50706;32,83641;100;406,3503;27,73541;378,4501;0,022;1269,879;34,84536;203,5473;201,8182;516,0158;720;False
17,50522;33,78746;100;428,5029;27,9967;400,6393;0,022;1271,11;34,87913;203,942;201,1523;544,6744;720;False
18,51735;34,7552;100;450,9656;27,53235;423,5146;0,022;1269,504;34,83507;203,427;199,1959;572,5028;720;False
19,51312;35,70628;100;473,0654;27,87946;445,2655;0,022;1270,399;34,85962;203,7139;195,9788;600,9818;720;False
20,50682;36,65723;100;495,1191;27,56592;467,6749;0,022;1270,514;34,86276;203,7506;192,7727;629,0555;720;False
21,50071;37,60832;100;517,1771;27,37067;489,8735;0,022;1270,327;34,85764;203,6908;189,5592;656,984;720;False
22,51191;38,57602;100;539,6191;28,66632;510,9868;0,022;1270,343;34,85807;203,6958;186,2916;685,5012;720;False
23,50406;39,52705;100;561,6384;27,90411;533,6442;0,022;1270,623;34,86577;203,7858;183,0839;713,6307;720;False
24,5094;40,49486;100;572,6913;23,49518;549,1591;0,022;1256,866;34,48828;199,3969;179,8319;719,7964;720;False
25,51386;41,49591;100;583,361;23,14343;560,428;0,022;1233,904;33,8582;192,1777;176,5803;719,8115;720;False
26,51166;42,53046;100;593,5467;22,46515;571,0752;0,022;1212,702;33,27643;185,6302;173,3502;719,7955;720;False
27,50043;43,59823;100;603,9747;22,58649;581,3809;0,022;1191,801;32,70289;179,2865;170,1496;719,8176;720;False
28,51161;44,73291;100;614,3267;22,37225;592,0073;0,022;1171,723;32,15197;173,2968;166,8758;719,8209;720;False
29,5028;45,88423;100;623,8721;22,24811;601,5258;0,022;1153,82;31,6607;168,0415;163,6686;719,8362;720;False
30,51323;47,10214;100;633,9263;22,2655;611,7898;0,022;1135,567;31,15985;162,7669;160,3943;719,866;720;False
