Speed(mph);Time;Throttle;Voltage;U Inductor;BackEMF;TotalR;Amperage;Flow;New Force(lbf);Legacy Force(lbf);Power/Motor;AvailPower/Motor;OverLoad
0;0,01667213;0,2079111;0,08316445;0,08316445;0;0,021;0;0;0;0;0;75;False
0,506041;9,894164;95,9374;49,14954;35,78167;13,3163;0,021;1230,789;24,61578;139,3654;165,4122;60,49272;556,9809;False
1,505866;11,39585;100;73,4205;36,00741;37,53602;0,021;1472,438;29,44876;199,4627;195,83;108,1071;720;False
2,502562;12,48043;100;95,54073;35,38281;60,13283;0,021;1552,911;31,05822;216;212,7393;148,3662;720;False
3,506368;13,49811;100;117,8188;35,61404;82,16916;0,021;1593,106;31,86213;216;210,5089;187,6978;720;False
4,502802;14,48237;100;139,9332;34,61716;105,4439;0,021;1623,093;32,46185;216;209,6203;227,1245;720;False
5,510826;15,45021;100;162,3048;35,79758;126,6041;0,021;1642,153;32,84307;216;208,9503;266,5294;720;False
6,505775;16,38462;100;184,3862;35,01389;149,4226;0,021;1654,934;33,09868;216;208,285;305,147;720;False
7,509523;17,30229;100;206,663;35,67914;171,08;0,021;1664,42;33,28839;216;207,6184;343,9739;720;False
8,515904;18,20326;100;228,9981;35,70456;193,2286;0,021;1673,228;33,46455;216;206,9463;383,166;720;False
9,507629;19,08754;100;251,008;35,82948;215,3064;0,021;1678,823;33,57645;216;206,2806;421,3979;720;False
10,51753;19,98856;100;273,4213;35,45787;237,9344;0,021;1686,565;33,7313;216;205,6052;461,1427;720;False
11,50686;20,8729;100;295,378;35,55414;259,8175;0,021;1688,867;33,77733;216;204,9461;498,8541;720;False
12,51397;21,77387;100;317,7294;35,70291;282,0179;0,021;1688,889;33,77779;216;204,2721;536,6098;720;False
13,50303;22,65816;100;339,6801;35,40118;304,3018;0,021;1693,55;33,87101;216;203,6071;575,2653;720;False
14,50962;23,55915;100;362,0199;35,22623;326,7383;0,021;1696,755;33,93509;216;202,933;614,259;720;False
15,51729;24,46014;100;384,3837;36,04318;348,294;0,021;1699,639;33,99277;216;202,2578;653,3133;720;False
16,50348;25,34444;100;406,2708;36,55698;369,6357;0,021;1699,714;33,99428;216;201,5995;690,5443;720;False
17,50061;26,24549;100;424,3744;33,58826;390,8011;0,021;1695,842;33,91684;216;200,9333;719,6719;720;False
18,51233;27,14644;100;435,167;32,32956;402,7486;0,021;1653,723;33,07446;216;198,9908;719,6456;720;False
19,51571;28,04745;100;445,7769;31,7493;414,0609;0,021;1614,432;32,28864;216;195,7542;719,6766;720;False
20,50084;28,93174;100;455,7316;31,43707;424,1734;0,021;1579,268;31,58536;216;192,5727;719,7222;720;False
21,50256;29,83276;100;465,927;30,31326;435,4449;0,021;1544,57;30,8914;216;189,3387;719,6569;720;False
