Speed(mph);Time;Throttle;Voltage;U Inductor;BackEMF;TotalR;Amperage;Flow;New Force(lbf);Legacy Force(lbf);Power/Motor;AvailPower/Motor;OverLoad
14,7607172012;22,10751;100;795,634;375,3656;420,2893;0,807;468,4711;562,1653;142,3558;133,3904;372,7315;372,8476;False
15,2987880707;22,608;100;802,9151;372,514;430,4579;0,807;464,242;557,0904;139,7971;129,0823;372,7469;372,8476;False
15,8179538727;23,10872;100;850;369,2784;441,14;0,807;460,1538;552,1846;137,3459;124,9238;391,1308;372,8476;False
16,3192977905;23,60914;100;850;380,3619;469,8714;0,807;475,1789;570,2147;146,4616;121,6489;403,9021;372,8476;True
16,8103128433;24,10978;100;850;373,8447;476,2824;0,807;468,8759;562,6511;142,6019;119,4433;398,5445;372,8476;True
17,2906145096;24,61016;100;850;368,5222;481,576;0,807;461,6974;554,0369;138,2688;117,2865;392,4428;372,8476;True
17,7616413116;25,11069;100;850;362,8769;487,3433;0,807;454,7815;545,7378;134,1575;115,1709;386,5642;372,8476;True
18,2239683151;25,61133;100;850;358,2776;491,9543;0,807;448,4102;538,0923;130,4249;113,0944;381,1487;372,8476;True
18,6762891769;26,11179;100;850;353,1445;497,0002;0,807;442,0686;530,4824;126,762;111,063;375,7583;372,8476;True
19,1292469025;26,62551;100;850;348,2521;501,8064;0,807;436,0309;523,2371;123,323;109,0349;370,6262;372,8476;False
19,570293045;27,12978;100;850;343,9446;506,3749;0,807;430,2545;516,3054;120,0771;107,0477;365,7163;372,8476;False
19,9960166931;27,63018;100;850;339,7886;510,2032;0,807;424,6984;509,6381;116,9959;105,1357;360,9936;372,8476;False
20,4147485733;28,13069;100;850;335,6194;514,4509;0,807;419,7664;503,7197;114,2944;103,2547;356,8014;372,8476;False
20,8243188858;28,63129;100;850;331,7552;518,3069;0,807;414,7281;497,6737;111,5671;101,4154;352,5189;372,8476;False
21,226725769;29,13178;100;850;328,2874;521,8978;0,807;410,0555;492,0666;109,0674;99,60789;348,5472;372,8476;False
21,6209392548;29,63237;100;850;324,8868;525,3145;0,807;405,506;486,6072;106,6606;97,8376;344,6801;372,8476;False
22,0085489273;30,1329;100;850;321,5313;528,5721;0,807;401,4472;481,7366;104,5361;96,09658;341,2301;372,8476;False
